Namespace(batch_size=32, data_dir='/root/dataset/Osteoporosis/Sagittal_Contrast_Final_1/', epochs=60, log='logs/CE', lr=0.0001, n_gpu=4, num_classes=3, phase='train', seed=0, weight_decay=0.001, workers=16)
multi_class.py:41: UserWarning: You have chosen to seed training. This will turn on the CUDNN deterministic setting, which can slow down your training considerably! You may see unexpected behavior when restarting from checkpoints.
  warnings.warn('You have chosen to seed training. '
Epoch: [2][60/72]	Time 0.2 (0.2)	Data 0.0 (0.1)	Loss 0.40 (0.57)	Accuracy 0.9 (0.8)
Epoch: [2][65/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.37 (0.57)	Accuracy 0.8 (0.8)
Epoch: [2][70/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.71 (0.56)	Accuracy 0.7 (0.8)
 *Acc 0.7433
Epoch: [3][ 0/72]	Time 4.2 (4.2)	Data 4.1 (4.1)	Loss 0.49 (0.49)	Accuracy 0.7 (0.7)
Epoch: [3][ 5/72]	Time 0.1 (0.8)	Data 0.0 (0.7)	Loss 0.59 (0.53)	Accuracy 0.8 (0.8)
Epoch: [3][10/72]	Time 0.1 (0.5)	Data 0.0 (0.4)	Loss 0.33 (0.51)	Accuracy 0.9 (0.8)
Epoch: [3][15/72]	Time 0.1 (0.4)	Data 0.0 (0.3)	Loss 0.55 (0.51)	Accuracy 0.8 (0.8)
Epoch: [3][20/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.46 (0.50)	Accuracy 0.9 (0.8)
Epoch: [3][25/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.47 (0.50)	Accuracy 0.8 (0.8)
Epoch: [3][30/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.42 (0.49)	Accuracy 0.8 (0.8)
Epoch: [3][35/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.43 (0.48)	Accuracy 0.8 (0.8)
Epoch: [3][40/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.44 (0.48)	Accuracy 0.8 (0.8)
Epoch: [3][45/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.38 (0.48)	Accuracy 0.9 (0.8)
Epoch: [3][50/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.34 (0.48)	Accuracy 0.8 (0.8)
Epoch: [3][55/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.66 (0.48)	Accuracy 0.8 (0.8)
Epoch: [3][60/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.40 (0.48)	Accuracy 0.9 (0.8)
Epoch: [3][65/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.44 (0.48)	Accuracy 0.8 (0.8)
Epoch: [3][70/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.58 (0.49)	Accuracy 0.8 (0.8)
 *Acc 0.7383
Epoch: [4][ 0/72]	Time 3.9 (3.9)	Data 3.8 (3.8)	Loss 0.41 (0.41)	Accuracy 0.9 (0.9)
Epoch: [4][ 5/72]	Time 0.1 (0.8)	Data 0.0 (0.7)	Loss 0.64 (0.48)	Accuracy 0.7 (0.8)
Epoch: [4][10/72]	Time 0.1 (0.5)	Data 0.0 (0.4)	Loss 0.48 (0.53)	Accuracy 0.8 (0.8)
Epoch: [4][15/72]	Time 0.1 (0.4)	Data 0.0 (0.3)	Loss 0.42 (0.50)	Accuracy 0.8 (0.8)
Epoch: [4][20/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.41 (0.49)	Accuracy 0.8 (0.8)
Epoch: [4][25/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.35 (0.47)	Accuracy 0.8 (0.8)
Epoch: [4][30/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.62 (0.48)	Accuracy 0.8 (0.8)
Epoch: [4][35/72]	Time 0.3 (0.2)	Data 0.2 (0.2)	Loss 0.39 (0.47)	Accuracy 0.8 (0.8)
Epoch: [4][40/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.59 (0.47)	Accuracy 0.8 (0.8)
Epoch: [4][45/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.40 (0.47)	Accuracy 0.9 (0.8)
Epoch: [4][50/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.47 (0.46)	Accuracy 0.8 (0.8)
Epoch: [4][55/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.44 (0.46)	Accuracy 0.8 (0.8)
Epoch: [4][60/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.29 (0.47)	Accuracy 0.9 (0.8)
Epoch: [4][65/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.42 (0.46)	Accuracy 0.8 (0.8)
Epoch: [4][70/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.35 (0.46)	Accuracy 0.9 (0.8)
 *Acc 0.6933
Epoch: [5][ 0/72]	Time 4.1 (4.1)	Data 4.0 (4.0)	Loss 0.47 (0.47)	Accuracy 0.8 (0.8)
Epoch: [5][ 5/72]	Time 0.1 (0.8)	Data 0.0 (0.7)	Loss 0.24 (0.40)	Accuracy 0.9 (0.8)
Epoch: [5][10/72]	Time 0.1 (0.5)	Data 0.0 (0.4)	Loss 0.27 (0.42)	Accuracy 0.9 (0.8)
Epoch: [5][15/72]	Time 0.1 (0.4)	Data 0.0 (0.3)	Loss 0.37 (0.41)	Accuracy 0.9 (0.8)
Epoch: [5][20/72]	Time 0.2 (0.3)	Data 0.1 (0.2)	Loss 0.30 (0.39)	Accuracy 0.9 (0.8)
Epoch: [5][25/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.32 (0.38)	Accuracy 0.9 (0.9)
Epoch: [5][30/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.28 (0.38)	Accuracy 0.9 (0.9)
Epoch: [5][35/72]	Time 0.1 (0.2)	Data 0.0 (0.2)	Loss 0.36 (0.37)	Accuracy 0.8 (0.9)
Epoch: [5][40/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.23 (0.36)	Accuracy 0.9 (0.9)
Epoch: [5][45/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.22 (0.36)	Accuracy 0.9 (0.9)
Epoch: [5][50/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.38 (0.36)	Accuracy 0.9 (0.9)
Epoch: [5][55/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.25 (0.35)	Accuracy 0.9 (0.9)
Epoch: [5][60/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.34 (0.35)	Accuracy 0.9 (0.9)
Epoch: [5][65/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.52 (0.35)	Accuracy 0.8 (0.9)
Epoch: [5][70/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.33 (0.35)	Accuracy 0.9 (0.9)
 *Acc 0.6817
Epoch: [6][ 0/72]	Time 4.3 (4.3)	Data 4.2 (4.2)	Loss 0.54 (0.54)	Accuracy 0.8 (0.8)
Epoch: [6][ 5/72]	Time 0.1 (0.8)	Data 0.0 (0.7)	Loss 0.35 (0.33)	Accuracy 0.8 (0.9)
Epoch: [6][10/72]	Time 0.1 (0.5)	Data 0.0 (0.4)	Loss 0.20 (0.29)	Accuracy 0.9 (0.9)
Epoch: [6][15/72]	Time 0.1 (0.4)	Data 0.0 (0.3)	Loss 0.27 (0.31)	Accuracy 0.9 (0.9)
Epoch: [6][20/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.49 (0.34)	Accuracy 0.8 (0.9)
Epoch: [6][25/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.38 (0.33)	Accuracy 0.8 (0.9)
Epoch: [6][30/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.26 (0.32)	Accuracy 0.9 (0.9)
Epoch: [6][35/72]	Time 0.2 (0.3)	Data 0.2 (0.2)	Loss 0.57 (0.35)	Accuracy 0.8 (0.9)
Epoch: [6][40/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.27 (0.34)	Accuracy 0.9 (0.9)
Epoch: [6][45/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.63 (0.35)	Accuracy 0.8 (0.9)
Epoch: [6][50/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.54 (0.35)	Accuracy 0.8 (0.9)
Epoch: [6][55/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.58 (0.36)	Accuracy 0.8 (0.9)
Epoch: [6][60/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.47 (0.36)	Accuracy 0.8 (0.9)
Epoch: [6][65/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.38 (0.36)	Accuracy 0.9 (0.9)
Epoch: [6][70/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.21 (0.36)	Accuracy 0.9 (0.9)
 *Acc 0.6267
Epoch: [7][ 0/72]	Time 4.2 (4.2)	Data 4.1 (4.1)	Loss 0.38 (0.38)	Accuracy 0.9 (0.9)
Epoch: [7][ 5/72]	Time 0.1 (0.8)	Data 0.0 (0.7)	Loss 0.22 (0.24)	Accuracy 0.9 (0.9)
Epoch: [7][10/72]	Time 0.2 (0.5)	Data 0.1 (0.4)	Loss 0.36 (0.29)	Accuracy 0.9 (0.9)
Epoch: [7][15/72]	Time 0.1 (0.4)	Data 0.0 (0.3)	Loss 0.22 (0.27)	Accuracy 0.9 (0.9)
Epoch: [7][20/72]	Time 0.3 (0.3)	Data 0.2 (0.2)	Loss 0.26 (0.27)	Accuracy 0.9 (0.9)
Epoch: [7][25/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.18 (0.27)	Accuracy 1.0 (0.9)
Epoch: [7][30/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.25 (0.27)	Accuracy 0.9 (0.9)
Epoch: [7][35/72]	Time 0.1 (0.2)	Data 0.0 (0.2)	Loss 0.18 (0.26)	Accuracy 0.9 (0.9)
Epoch: [7][40/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.44 (0.27)	Accuracy 0.8 (0.9)
Epoch: [7][45/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.11 (0.27)	Accuracy 1.0 (0.9)
Epoch: [7][50/72]	Time 0.2 (0.2)	Data 0.1 (0.1)	Loss 0.19 (0.27)	Accuracy 0.9 (0.9)
Epoch: [7][55/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.27 (0.28)	Accuracy 0.9 (0.9)
Epoch: [7][60/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.52 (0.30)	Accuracy 0.8 (0.9)
Epoch: [7][65/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.16 (0.30)	Accuracy 1.0 (0.9)
Epoch: [7][70/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.25 (0.30)	Accuracy 0.9 (0.9)
 *Acc 0.7583
Epoch: [8][ 0/72]	Time 4.3 (4.3)	Data 4.2 (4.2)	Loss 0.30 (0.30)	Accuracy 0.8 (0.8)
Epoch: [8][ 5/72]	Time 0.1 (0.8)	Data 0.0 (0.7)	Loss 0.36 (0.31)	Accuracy 0.8 (0.9)
Epoch: [8][10/72]	Time 0.1 (0.5)	Data 0.0 (0.4)	Loss 0.11 (0.23)	Accuracy 1.0 (0.9)
Epoch: [8][15/72]	Time 0.1 (0.4)	Data 0.0 (0.3)	Loss 0.12 (0.21)	Accuracy 1.0 (0.9)
Epoch: [8][20/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.11 (0.19)	Accuracy 1.0 (0.9)
Epoch: [8][25/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.14 (0.20)	Accuracy 1.0 (0.9)
Epoch: [8][30/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.17 (0.20)	Accuracy 1.0 (0.9)
Epoch: [8][35/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.13 (0.20)	Accuracy 1.0 (0.9)
Epoch: [8][40/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.18 (0.20)	Accuracy 0.9 (0.9)
Epoch: [8][45/72]	Time 0.2 (0.2)	Data 0.0 (0.1)	Loss 0.15 (0.20)	Accuracy 0.9 (0.9)
Epoch: [8][50/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.13 (0.20)	Accuracy 1.0 (0.9)
Epoch: [8][55/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.05 (0.20)	Accuracy 1.0 (0.9)
Epoch: [8][60/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.18 (0.20)	Accuracy 0.9 (0.9)
Epoch: [8][65/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.20 (0.21)	Accuracy 0.9 (0.9)
Epoch: [8][70/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.28 (0.21)	Accuracy 0.9 (0.9)
 *Acc 0.7350
Epoch: [9][ 0/72]	Time 4.9 (4.9)	Data 4.8 (4.8)	Loss 0.13 (0.13)	Accuracy 1.0 (1.0)
Epoch: [9][ 5/72]	Time 0.1 (0.9)	Data 0.0 (0.8)	Loss 0.50 (0.22)	Accuracy 0.9 (0.9)
Epoch: [9][10/72]	Time 0.1 (0.6)	Data 0.0 (0.5)	Loss 0.11 (0.17)	Accuracy 1.0 (0.9)
Epoch: [9][15/72]	Time 0.1 (0.4)	Data 0.0 (0.3)	Loss 0.29 (0.17)	Accuracy 0.9 (0.9)
Epoch: [9][20/72]	Time 0.1 (0.4)	Data 0.0 (0.3)	Loss 0.22 (0.18)	Accuracy 0.9 (0.9)
Epoch: [9][25/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.22 (0.17)	Accuracy 0.9 (1.0)
Epoch: [9][30/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.30 (0.17)	Accuracy 0.9 (0.9)
Epoch: [9][35/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.08 (0.17)	Accuracy 1.0 (1.0)
Epoch: [9][40/72]	Time 0.1 (0.2)	Data 0.0 (0.2)	Loss 0.11 (0.17)	Accuracy 1.0 (0.9)
Epoch: [9][45/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.25 (0.17)	Accuracy 0.9 (0.9)
Epoch: [9][50/72]	Time 0.3 (0.2)	Data 0.1 (0.1)	Loss 0.14 (0.19)	Accuracy 1.0 (0.9)
Epoch: [9][55/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.30 (0.19)	Accuracy 0.8 (0.9)
Epoch: [9][60/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.18 (0.20)	Accuracy 1.0 (0.9)
Epoch: [9][65/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.16 (0.20)	Accuracy 0.9 (0.9)
Epoch: [9][70/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.25 (0.20)	Accuracy 0.9 (0.9)
 *Acc 0.7083
Epoch: [10][ 0/72]	Time 4.0 (4.0)	Data 3.9 (3.9)	Loss 0.05 (0.05)	Accuracy 1.0 (1.0)
Epoch: [10][ 5/72]	Time 0.1 (0.8)	Data 0.0 (0.7)	Loss 0.28 (0.17)	Accuracy 0.9 (0.9)
Epoch: [10][10/72]	Time 0.1 (0.5)	Data 0.0 (0.4)	Loss 0.10 (0.19)	Accuracy 1.0 (0.9)
Epoch: [10][15/72]	Time 0.1 (0.4)	Data 0.0 (0.3)	Loss 0.31 (0.20)	Accuracy 0.9 (0.9)
Epoch: [10][20/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.14 (0.18)	Accuracy 1.0 (0.9)
Epoch: [10][25/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.57 (0.19)	Accuracy 0.9 (0.9)
Epoch: [10][30/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.20 (0.18)	Accuracy 1.0 (0.9)
Epoch: [10][35/72]	Time 0.1 (0.2)	Data 0.0 (0.2)	Loss 0.11 (0.18)	Accuracy 1.0 (0.9)
Epoch: [10][40/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.30 (0.17)	Accuracy 0.9 (0.9)
Epoch: [10][45/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.07 (0.17)	Accuracy 1.0 (0.9)
Epoch: [10][50/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.09 (0.16)	Accuracy 1.0 (0.9)
Epoch: [10][55/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.09 (0.16)	Accuracy 1.0 (1.0)
Epoch: [10][60/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.05 (0.16)	Accuracy 1.0 (1.0)
Epoch: [10][65/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.49 (0.16)	Accuracy 0.8 (0.9)
Epoch: [10][70/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.09 (0.16)	Accuracy 1.0 (1.0)
 *Acc 0.7300
Epoch: [11][ 0/72]	Time 4.4 (4.4)	Data 4.2 (4.2)	Loss 0.13 (0.13)	Accuracy 1.0 (1.0)
Epoch: [11][ 5/72]	Time 0.1 (0.8)	Data 0.0 (0.7)	Loss 0.15 (0.17)	Accuracy 1.0 (0.9)
Epoch: [11][10/72]	Time 0.1 (0.5)	Data 0.0 (0.4)	Loss 0.10 (0.16)	Accuracy 1.0 (0.9)
Epoch: [11][15/72]	Time 0.1 (0.4)	Data 0.0 (0.3)	Loss 0.09 (0.13)	Accuracy 1.0 (1.0)
Epoch: [11][20/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.10 (0.12)	Accuracy 1.0 (1.0)
Epoch: [11][25/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.05 (0.11)	Accuracy 1.0 (1.0)
Epoch: [11][30/72]	Time 0.1 (0.3)	Data 0.0 (0.2)	Loss 0.08 (0.12)	Accuracy 1.0 (1.0)
Epoch: [11][35/72]	Time 0.2 (0.3)	Data 0.1 (0.2)	Loss 0.07 (0.11)	Accuracy 1.0 (1.0)
Epoch: [11][40/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.21 (0.11)	Accuracy 0.9 (1.0)
Epoch: [11][45/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.12 (0.12)	Accuracy 1.0 (1.0)
Epoch: [11][50/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.10 (0.12)	Accuracy 1.0 (1.0)
Epoch: [11][55/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.40 (0.12)	Accuracy 0.8 (1.0)
Epoch: [11][60/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.03 (0.12)	Accuracy 1.0 (1.0)
Epoch: [11][65/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.25 (0.12)	Accuracy 0.9 (1.0)
Epoch: [11][70/72]	Time 0.1 (0.2)	Data 0.0 (0.1)	Loss 0.20 (0.12)	Accuracy 0.9 (1.0)
 *Acc 0.7300
Epoch: [12][ 0/72]	Time 4.2 (4.2)	Data 4.1 (4.1)	Loss 0.04 (0.04)	Accuracy 1.0 (1.0)
Epoch: [12][ 5/72]	Time 0.1 (0.8)	Data 0.0 (0.7)	Loss 0.16 (0.11)	Accuracy 1.0 (1.0)
